Id,name,barcode,type,model,qty,qty_balance,price,price_yuan,supplier,branch,status,technicianId,machinery_no,replace_capacity,purchase_date,rental_rate,engine_model,serial_no,alternator_serial_no,capacity,min_litre,consumption,brand,engine_no,width,length,height,oem,description,balance_treshold,rack_no,maxTechhold,maxOrder,owner
1,SC001,SC001,GENSET,UD20F1,0,,0,0,,,Idle,0,SC001,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1402019,81,135,123,0,0,0,0,0,0,0
3,SC003,SC003,GENSET,UD50F3,0,,0,0,,,Idle,0,SC003,,01-May-08,0.00,F3L,,,30KVA,0,0,,80193,0,0,0,0,0,0,0,0,0,0
4,SC004,SC004,GENSET,UD25F2,0,,0,0,,,Idle,0,SC004,,01-Aug-12,0.00,F2L,,,20KVA,0,0,,1501018,106,135,119,0,0,0,0,0,0,0
5,SC005,SC005,GENSET,UD25F2,0,,0,0,,,Idle,0,SC005,,01-Aug-12,0.00,F2L,,,20KVA,0,0,,100837,106,135,119,0,0,0,0,0,0,0
6,SC006,SC006,GENSET,UD50F3,0,,0,0,,,Idle,0,SC006,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,91532,0,0,0,0,0,0,0,0,0,0
8,SC008,SC008,GENSET,UD20F1,0,,0,0,,,Idle,0,SC008,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1501008,81,135,123,0,0,0,0,0,0,0
9,SC009,SC009,GENSET,UD50F3,0,,0,0,,,Idle,0,SC009,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,81202,0,0,0,0,0,0,0,0,0,0
10,SC010,SC010,GENSET,UD20F1,0,,0,0,,,Idle,0,SC010,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1501007,81,135,123,0,0,0,0,0,0,0
11,SC011,SC011,GENSET,UD20F1,0,,0,0,,,Idle,0,SC011,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1407130,81,135,123,0,0,0,0,0,0,0
12,SC012,SC012,GENSET,UD20F1,0,,0,0,,,Idle,0,SC012,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,61007,81,135,123,0,0,0,0,0,0,0
13,SC013,SC013,GENSET,UD20F1,0,,0,0,,,Idle,0,SC013,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1402015,81,135,123,0,0,0,0,0,0,0
14,SC014,SC014,GENSET,UD20F1,0,,0,0,,,Idle,0,SC014,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1501003,81,135,123,0,0,0,0,0,0,0
16,SC016,SC016,GENSET,UD20F1,0,,0,0,,,Idle,0,SC016,,13-May-13,0.00,F1L,,,10KVA,0,0,,61002,81,135,123,0,0,0,0,0,0,0
17,SC017,SC017,GENSET,UD20F1,0,,0,0,,,Idle,0,SC017,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1305412,81,135,123,0,0,0,0,0,0,0
18,SC018,SC018,GENSET,UD20F1,0,,0,0,,,Idle,0,SC018,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1505126,81,135,123,0,0,0,0,0,0,0
19,SC019,SC019,GENSET,UD20F1,0,,0,0,,,Idle,0,SC019,,13-May-13,0.00,F1L,,,10KVA,0,0,,1303116,81,135,123,0,0,0,0,0,0,0
20,SC020,SC020,GENSET,UD20F1,0,,0,0,,,Idle,0,SC020,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1303125,81,135,123,0,0,0,0,0,0,0
21,SC021,SC021,GENSET,UD20F1,0,,0,0,,,Idle,0,SC021,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1701105,81,135,123,0,0,0,0,0,0,0
22,SC022,SC022,GENSET,UD25F2,0,,0,0,,,Idle,0,SC022,,01-Aug-12,0.00,F2L,,,20KVA,0,0,,81091108,106,135,119,0,0,0,0,0,0,0
23,SC023,SC023,GENSET,UD20F1,0,,0,0,,,Idle,0,SC023,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1402012,81,135,123,0,0,0,0,0,0,0
24,SC024,SC024,GENSET,UD20F1,0,,0,0,,,Idle,0,SC024,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1303115,81,135,123,0,0,0,0,0,0,0
25,SC025,SC025,GENSET,UD20F1,0,,0,0,,,Idle,0,SC025,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1407129,81,135,123,0,0,0,0,0,0,0
26,SC026,SC026,GENSET,UD25F2,0,,0,0,,,Idle,0,SC026,,01-Mar-14,0.00,F2L,,,20KVA,0,0,,61006,106,135,119,0,0,0,0,0,0,0
27,SC027,SC027,GENSET,UD25F2,0,,0,0,,,Idle,0,SC027,,01-Aug-12,0.00,F2L,,,20KVA,0,0,,62001,106,135,119,0,0,0,0,0,0,0
28,SC028,SC028,GENSET,UD25F2,0,,0,0,,,Idle,0,SC028,,01-Aug-12,0.00,F2L,,,20KVA,0,0,,61244,106,135,119,0,0,0,0,0,0,0
29,SC029,SC029,GENSET,UD50F3,0,,0,0,,,Idle,0,SC029,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,81769,0,0,0,0,0,0,0,0,0,0
32,SC032,SC032,GENSET,UD25F2,0,,0,0,,,Idle,0,SC032,,01-Aug-12,0.00,F2L,,,20KVA,0,0,,90474,106,135,119,0,0,0,0,0,0,0
33,SC033,SC033,GENSET,UD50F3,0,,0,0,,,Idle,0,SC033,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,72080,0,0,0,0,0,0,0,0,0,0
34,SC034,SC034,GENSET,UD50F3,0,,0,0,,,Idle,0,SC034,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,91528,0,0,0,0,0,0,0,0,0,0
35,SC035,SC035,GENSET,UD20F1,0,,0,0,,,Idle,0,SC035,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1407131,81,135,123,0,0,0,0,0,0,0
36,SC036,SC036,GENSET,UD20F1,0,,0,0,,,Idle,0,SC036,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1505133,81,135,123,0,0,0,0,0,0,0
